district,date,month,year,visitors,visitor_type
Nalgonda,2016-09-01,September,2016,742402,Domestic
Nalgonda,2016-10-01,October,2016,3508,Domestic
Nalgonda,2016-11-01,November,2016,21046,Domestic
Nalgonda,2016-12-01,December,2016,13775,Domestic
Nirmal,2016-01-01,January,2016,0,Domestic
Nirmal,2016-02-01,February,2016,0,Domestic
Nirmal,2016-03-01,March,2016,0,Domestic
Nirmal,2016-04-01,April,2016,0,Domestic
Nirmal,2016-05-01,May,2016,0,Domestic
Nirmal,2016-06-01,June,2016,0,Domestic
Nirmal,2016-07-01,July,2016,0,Domestic
Nirmal,2016-08-01,August,2016,0,Domestic
Nirmal,2016-09-01,September,2016,0,Domestic
Nirmal,2016-10-01,October,2016,475955,Domestic
Nirmal,2016-11-01,November,2016,201388,Domestic
Nirmal,2016-12-01,December,2016,239267,Domestic
Nizamabad,2016-01-01,January,2016,576,Domestic
Nizamabad,2016-02-01,February,2016,869,Domestic
Nizamabad,2016-03-01,March,2016,408,Domestic
Nizamabad,2016-04-01,April,2016,476,Domestic
Nizamabad,2016-05-01,May,2016,554,Domestic
Nizamabad,2016-06-01,June,2016,367,Domestic
Nizamabad,2016-07-01,July,2016,644,Domestic
Nizamabad,2016-08-01,August,2016,589,Domestic
Nizamabad,2016-09-01,September,2016,553,Domestic
Nizamabad,2016-10-01,October,2016,434,Domestic
Nizamabad,2016-11-01,November,2016,617,Domestic
Nizamabad,2016-12-01,December,2016,355,Domestic
Peddapalli,2016-01-01,January,2016,0,Domestic
Peddapalli,2016-02-01,February,2016,0,Domestic
Peddapalli,2016-03-01,March,2016,0,Domestic
Peddapalli,2016-04-01,April,2016,0,Domestic
Peddapalli,2016-05-01,May,2016,0,Domestic
Peddapalli,2016-06-01,June,2016,0,Domestic
Peddapalli,2016-07-01,July,2016,0,Domestic
Peddapalli,2016-08-01,August,2016,0,Domestic
Peddapalli,2016-09-01,September,2016,0,Domestic
Peddapalli,2016-10-01,October,2016,950,Domestic
Peddapalli,2016-11-01,November,2016,1145,Domestic
Peddapalli,2016-12-01,December,2016,1149,Domestic
Rajanna Sircilla,2016-01-01,January,2016,0,Domestic
Rajanna Sircilla,2016-02-01,February,2016,0,Domestic
Rajanna Sircilla,2016-03-01,March,2016,0,Domestic
Rajanna Sircilla,2016-04-01,April,2016,0,Domestic
Rajanna Sircilla,2016-05-01,May,2016,0,Domestic
Rajanna Sircilla,2016-06-01,June,2016,0,Domestic
Rajanna Sircilla,2016-07-01,July,2016,0,Domestic
Rajanna Sircilla,2016-08-01,August,2016,0,Domestic
Rajanna Sircilla,2016-09-01,September,2016,0,Domestic
Rajanna Sircilla,2016-10-01,October,2016,534484,Domestic
Rajanna Sircilla,2016-11-01,November,2016,864077,Domestic
Rajanna Sircilla,2016-12-01,December,2016,778240,Domestic
Ranga Reddy,2016-01-01,January,2016,0,Domestic
Ranga Reddy,2016-02-01,February,2016,0,Domestic
Ranga Reddy,2016-03-01,March,2016,0,Domestic
Ranga Reddy,2016-04-01,April,2016,0,Domestic
Ranga Reddy,2016-05-01,May,2016,0,Domestic
Ranga Reddy,2016-06-01,June,2016,0,Domestic
